iso3c,year,wbl_index
AZE,1971,53.1
AZE,1972,52.5
AZE,1973,61.3
AZE,1974,61.3
AZE,1975,61.3
AZE,1976,61.3
AZE,1977,61.3
AZE,1978,61.3
AZE,1979,61.3
AZE,1980,61.3
AZE,1981,61.3
AZE,1982,61.3
AZE,1983,61.3
AZE,1984,61.3
AZE,1985,61.3
AZE,1986,61.3
AZE,1987,61.3
AZE,1988,61.3
AZE,1989,61.3
AZE,1990,61.3
AZE,1991,61.3
AZE,1992,61.3
AZE,1993,61.3
AZE,1994,64.4
AZE,1995,64.4
AZE,1996,64.4
AZE,1997,64.4
AZE,1998,64.4
AZE,1999,64.4
AZE,2000,66.9
AZE,2001,66.9
AZE,2002,66.9
AZE,2003,66.9
AZE,2004,66.9
AZE,2005,66.9
AZE,2006,66.9
AZE,2007,66.9
AZE,2008,76.3
AZE,2009,76.3
AZE,2010,76.3
AZE,2011,76.3
AZE,2012,78.8
AZE,2013,78.8
AZE,2014,78.8
AZE,2015,78.8
AZE,2016,78.8
AZE,2017,78.8
AZE,2018,78.8
AZE,2019,78.8
AZE,2020,78.8
BDI,1971,45.0
BDI,1972,45.0
BDI,1973,47.5
BDI,1974,47.5
BDI,1975,47.5
BDI,1976,47.5
BDI,1977,47.5
BDI,1978,47.5
BDI,1979,47.5
BDI,1980,47.5
BDI,1981,47.5
BDI,1982,47.5
BDI,1983,47.5
BDI,1984,47.5
BDI,1985,47.5
BDI,1986,47.5
BDI,1987,47.5
BDI,1988,47.5
BDI,1989,47.5
BDI,1990,47.5
BDI,1991,47.5
BDI,1992,47.5
BDI,1993,47.5
BDI,1994,58.8
BDI,1995,64.4
BDI,1996,64.4
BDI,1997,64.4
BDI,1998,64.4
BDI,1999,64.4
BDI,2000,64.4
BDI,2001,64.4
BDI,2002,64.4
BDI,2003,64.4
BDI,2004,64.4
BDI,2005,64.4
BDI,2006,64.4
BDI,2007,64.4
BDI,2008,64.4
BDI,2009,64.4
BDI,2010,73.1
BDI,2011,73.1
BDI,2012,73.1
BDI,2013,73.1
BDI,2014,73.1
BDI,2015,73.1
BDI,2016,73.1
BDI,2017,73.1
BDI,2018,73.1
BDI,2019,73.1
BDI,2020,73.1
BEL,1971,38.1
BEL,1972,38.1
BEL,1973,40.6
BEL,1974,40.6
BEL,1975,40.6
BEL,1976,40.6
BEL,1977,40.6
BEL,1978,61.3
BEL,1979,61.3
BEL,1980,61.3
BEL,1981,61.3
BEL,1982,61.3
BEL,1983,61.3
BEL,1984,61.3
BEL,1985,61.3
BEL,1986,61.3
BEL,1987,61.3
BEL,1988,61.3
BEL,1989,61.3
BEL,1990,61.3
BEL,1991,61.3
BEL,1992,61.3
BEL,1993,61.3
BEL,1994,61.3
BEL,1995,61.3
BEL,1996,63.8
BEL,1997,63.8
BEL,1998,70.0
BEL,1999,72.5
BEL,2000,75.6
BEL,2001,75.6
BEL,2002,75.6
BEL,2003,75.6
BEL,2004,84.4
BEL,2005,84.4
BEL,2006,84.4
BEL,2007,84.4
BEL,2008,87.5
BEL,2009,87.5
BEL,2010,93.8
BEL,2011,93.8
BEL,2012,100.0
BEL,2013,100.0
BEL,2014,100.0
BEL,2015,100.0
BEL,2016,100.0
BEL,2017,100.0
BEL,2018,100.0
BEL,2019,100.0
BEL,2020,100.0
BEN,1971,28.1
BEN,1972,28.1
BEN,1973,28.1
BEN,1974,37.5
BEN,1975,40.0
BEN,1976,40.0
BEN,1977,40.0
BEN,1978,40.0
BEN,1979,40.0
BEN,1980,40.0
BEN,1981,40.0
BEN,1982,40.0
BEN,1983,40.0
BEN,1984,40.0
BEN,1985,40.0
BEN,1986,40.0
BEN,1987,40.0
BEN,1988,40.0
BEN,1989,40.0
BEN,1990,40.0
BEN,1991,40.0
BEN,1992,40.0
BEN,1993,40.0
BEN,1994,40.0
BEN,1995,40.0
BEN,1996,40.0
BEN,1997,40.0
BEN,1998,40.0
BEN,1999,49.4
BEN,2000,46.9
BEN,2001,46.9
BEN,2002,46.9
BEN,2003,46.9
BEN,2004,46.9
BEN,2005,46.9
BEN,2006,65.6
BEN,2007,65.6
BEN,2008,71.9
BEN,2009,71.9
BEN,2010,71.9
BEN,2011,71.9
BEN,2012,71.9
BEN,2013,74.4
BEN,2014,74.4
BEN,2015,74.4
BEN,2016,74.4
BEN,2017,74.4
BEN,2018,74.4
BEN,2019,74.4
BEN,2020,74.4
BFA,1971,48.1
BFA,1972,48.1
BFA,1973,48.1
BFA,1974,48.1
BFA,1975,48.1
BFA,1976,48.1
BFA,1977,48.1
BFA,1978,48.1
BFA,1979,48.1
BFA,1980,48.1
BFA,1981,48.1
BFA,1982,48.1
BFA,1983,48.1
BFA,1984,48.1
BFA,1985,48.1
BFA,1986,48.1
BFA,1987,48.1
BFA,1988,48.1
BFA,1989,48.1
BFA,1990,48.1
BFA,1991,61.9
BFA,1992,61.9
BFA,1993,61.9
BFA,1994,70.6
BFA,1995,70.6
BFA,1996,70.6
BFA,1997,70.6
BFA,1998,70.6
BFA,1999,70.6
BFA,2000,70.6
BFA,2001,70.6
BFA,2002,70.6
BFA,2003,70.6
BFA,2004,70.6
BFA,2005,70.6
BFA,2006,76.9
BFA,2007,76.9
BFA,2008,76.9
BFA,2009,76.9
BFA,2010,76.9
BFA,2011,76.9
BFA,2012,76.9
BFA,2013,76.9
BFA,2014,76.9
BFA,2015,76.9
BFA,2016,76.9
BFA,2017,76.9
BFA,2018,76.9
BFA,2019,76.9
BFA,2020,79.4
BGD,1971,35.0
BGD,1972,35.0
BGD,1973,35.0
BGD,1974,38.1
BGD,1975,38.1
BGD,1976,38.1
BGD,1977,38.1
BGD,1978,38.1
BGD,1979,38.1
BGD,1980,38.1
BGD,1981,38.1
BGD,1982,38.1
BGD,1983,38.1
BGD,1984,38.1
BGD,1985,38.1
BGD,1986,38.1
BGD,1987,38.1
BGD,1988,38.1
BGD,1989,38.1
BGD,1990,38.1
BGD,1991,38.1
BGD,1992,38.1
BGD,1993,38.1
BGD,1994,38.1
BGD,1995,38.1
BGD,1996,38.1
BGD,1997,38.1
BGD,1998,38.1
BGD,1999,38.1
BGD,2000,38.1
BGD,2001,38.1
BGD,2002,38.1
BGD,2003,38.1
BGD,2004,38.1
BGD,2005,38.1
BGD,2006,38.1
BGD,2007,38.1
BGD,2008,43.8
BGD,2009,43.8
BGD,2010,46.9
BGD,2011,46.9
BGD,2012,49.4
BGD,2013,49.4
BGD,2014,49.4
BGD,2015,49.4
BGD,2016,49.4
BGD,2017,49.4
BGD,2018,49.4
BGD,2019,49.4
BGD,2020,49.4
BGR,1971,65.0
BGR,1972,65.0
BGR,1973,65.0
BGR,1974,65.0
BGR,1975,65.0
BGR,1976,65.0
BGR,1977,65.0
BGR,1978,65.0
BGR,1979,65.0
BGR,1980,65.0
BGR,1981,65.0
BGR,1982,65.0
BGR,1983,65.0
BGR,1984,65.0
BGR,1985,65.0
BGR,1986,65.0
BGR,1987,65.0
BGR,1988,68.1
BGR,1989,68.1
BGR,1990,68.1
BGR,1991,68.1
BGR,1992,68.1
BGR,1993,68.1
BGR,1994,68.1
BGR,1995,68.1
BGR,1996,68.1
BGR,1997,68.1
BGR,1998,68.1
BGR,1999,68.1
BGR,2000,68.1
BGR,2001,68.1
BGR,2002,73.8
BGR,2003,73.8
BGR,2004,73.8
BGR,2005,82.5
BGR,2006,88.1
BGR,2007,88.1
BGR,2008,88.1
BGR,2009,88.1
BGR,2010,90.6
BGR,2011,90.6
BGR,2012,87.5
BGR,2013,87.5
BGR,2014,90.6
BGR,2015,90.6
BGR,2016,90.6
BGR,2017,90.6
BGR,2018,90.6
BGR,2019,90.6
BGR,2020,90.6
BHR,1971,20.6
BHR,1972,20.6
BHR,1973,20.6
BHR,1974,20.6
BHR,1975,20.6
BHR,1976,20.6
BHR,1977,20.6
BHR,1978,26.3
BHR,1979,26.3
BHR,1980,26.3
BHR,1981,26.3
BHR,1982,26.3
BHR,1983,26.3
BHR,1984,26.3
BHR,1985,26.3
BHR,1986,26.3
BHR,1987,26.3
BHR,1988,26.3
BHR,1989,26.3
BHR,1990,26.3
BHR,1991,26.3
BHR,1992,26.3
BHR,1993,26.3
BHR,1994,26.3
BHR,1995,28.8
BHR,1996,28.8
BHR,1997,28.8
BHR,1998,28.8
BHR,1999,28.8
BHR,2000,28.8
BHR,2001,28.8
BHR,2002,28.8
BHR,2003,28.8
BHR,2004,28.8
BHR,2005,28.8
BHR,2006,28.8
BHR,2007,31.9
BHR,2008,31.9
BHR,2009,31.9
BHR,2010,31.9
BHR,2011,31.9
BHR,2012,31.9
BHR,2013,31.9
BHR,2014,35.0
BHR,2015,35.0
BHR,2016,35.0
BHR,2017,37.5
BHR,2018,37.5
BHR,2019,40.0
BHR,2020,46.3
BHS,1971,46.9
BHS,1972,46.9
BHS,1973,53.1
BHS,1974,53.1
BHS,1975,53.1
BHS,1976,53.1
BHS,1977,53.1
BHS,1978,53.1
BHS,1979,53.1
BHS,1980,53.1
BHS,1981,56.3
BHS,1982,56.3
BHS,1983,56.3
BHS,1984,58.8
BHS,1985,58.8
BHS,1986,61.9
BHS,1987,61.9
BHS,1988,61.9
BHS,1989,64.4
BHS,1990,64.4
BHS,1991,64.4
BHS,1992,64.4
BHS,1993,73.1
BHS,1994,73.1
BHS,1995,73.1
BHS,1996,73.1
BHS,1997,73.1
BHS,1998,73.1
BHS,1999,73.1
BHS,2000,73.1
BHS,2001,73.1
BHS,2002,73.1
BHS,2003,81.3
BHS,2004,81.3
BHS,2005,81.3
BHS,2006,81.3
BHS,2007,81.3
BHS,2008,81.3
BHS,2009,81.3
BHS,2010,81.3
BHS,2011,81.3
BHS,2012,81.3
BHS,2013,81.3
BHS,2014,81.3
BHS,2015,81.3
BHS,2016,81.3
BHS,2017,81.3
BHS,2018,81.3
BHS,2019,81.3
BHS,2020,81.3
BIH,1971,58.1
BIH,1972,58.1
BIH,1973,58.1
BIH,1974,58.1
BIH,1975,58.1
BIH,1976,58.1
BIH,1977,58.1
BIH,1978,58.1
BIH,1979,58.1
BIH,1980,58.1
BIH,1981,58.1
BIH,1982,58.1
BIH,1983,58.1
BIH,1984,58.1
BIH,1985,58.1
BIH,1986,58.1
BIH,1987,58.1
BIH,1988,58.1
BIH,1989,58.1
BIH,1990,58.1
BIH,1991,58.1
BIH,1992,58.1
BIH,1993,58.1
BIH,1994,58.1
BIH,1995,58.1
BIH,1996,58.1
BIH,1997,58.1
BIH,1998,58.1
BIH,1999,58.1
BIH,2000,63.8
BIH,2001,66.9
BIH,2002,66.9
BIH,2003,66.9
BIH,2004,76.3
BIH,2005,76.3
BIH,2006,78.8
BIH,2007,78.8
BIH,2008,78.8
BIH,2009,78.8
BIH,2010,78.8
BIH,2011,81.9
BIH,2012,81.9
BIH,2013,81.9
BIH,2014,81.9
BIH,2015,81.9
BIH,2016,81.9
BIH,2017,85.0
BIH,2018,88.1
BIH,2019,85.0
BIH,2020,85.0
BLR,1971,53.1
BLR,1972,50.0
BLR,1973,55.0
BLR,1974,58.1
BLR,1975,58.1
BLR,1976,58.1
BLR,1977,58.1
BLR,1978,58.1
BLR,1979,58.1
BLR,1980,58.1
BLR,1981,58.1
BLR,1982,58.1
BLR,1983,58.1
BLR,1984,58.1
BLR,1985,58.1
BLR,1986,58.1
BLR,1987,58.1
BLR,1988,58.1
BLR,1989,58.1
BLR,1990,58.1
BLR,1991,58.1
BLR,1992,58.1
BLR,1993,61.3
BLR,1994,61.3
BLR,1995,61.3
BLR,1996,67.5
BLR,1997,67.5
BLR,1998,67.5
BLR,1999,67.5
BLR,2000,67.5
BLR,2001,73.1
BLR,2002,73.1
BLR,2003,73.1
BLR,2004,73.1
BLR,2005,73.1
BLR,2006,73.1
BLR,2007,73.1
BLR,2008,73.1
BLR,2009,73.1
BLR,2010,73.1
BLR,2011,73.1
BLR,2012,73.1
BLR,2013,73.1
BLR,2014,73.1
BLR,2015,75.6
BLR,2016,75.6
BLR,2017,75.6
BLR,2018,75.6
BLR,2019,75.6
BLR,2020,75.6
BLZ,1971,51.3
BLZ,1972,51.3
BLZ,1973,51.3
BLZ,1974,51.3
BLZ,1975,51.3
BLZ,1976,51.3
BLZ,1977,51.3
BLZ,1978,51.3
BLZ,1979,51.3
BLZ,1980,51.3
BLZ,1981,53.8
BLZ,1982,63.1
BLZ,1983,63.1
BLZ,1984,63.1
BLZ,1985,63.1
BLZ,1986,63.1
BLZ,1987,63.1
BLZ,1988,63.1
BLZ,1989,63.1
BLZ,1990,63.1
BLZ,1991,63.1
BLZ,1992,63.1
BLZ,1993,63.1
BLZ,1994,65.6
BLZ,1995,65.6
BLZ,1996,65.6
BLZ,1997,65.6
BLZ,1998,71.9
BLZ,1999,71.9
BLZ,2000,71.9
BLZ,2001,71.9
BLZ,2002,74.4
BLZ,2003,76.9
BLZ,2004,76.9
BLZ,2005,76.9
BLZ,2006,76.9
BLZ,2007,76.9
BLZ,2008,76.9
BLZ,2009,76.9
BLZ,2010,76.9
